Potential [ V],di [µA/]
-0.724600017,226.5460062
-0.724150002,226.573
-0.723699987,226.7539967
-0.723249972,226.9109973
-0.722800016,227.0489931
-0.722350001,227.0440018
-0.721899986,227.1809935
-0.721449971,227.2080019
-0.721000016,227.2840065
-0.720550001,227.594006
-0.720099986,228.1479974
-0.719649971,228.7429961
-0.719200015,229.4540027
-0.71875,230.0299966
-0.718299985,230.428006
-0.717850029,230.6740062
-0.717400014,230.8849944
-0.716949999,230.959995
-0.716499984,231.1840071
-0.716050029,231.397993
-0.715600014,231.7470062
-0.715149999,232.0549975
-0.714699984,232.3770022
-0.714250028,232.595994
-0.713800013,232.913997
-0.713349998,233.0519928
-0.712899983,233.2809963
-0.712450027,233.5739991
-0.712000012,233.8610066
-0.711549997,234.0469946
-0.711099982,234.2619991
-0.710650027,234.4340028
-0.710200012,234.5469984
-0.709749997,234.6940018
-0.709299982,234.7380068
-0.708850026,234.8109992
-0.708400011,234.8160051
-0.707949996,234.8080016
-0.707499981,234.844003
-0.707050025,235.2070005
-0.70660001,235.5000033
-0.706149995,235.761996
-0.70569998,236.0100043
-0.705250025,236.1579973
-0.70480001,235.9929931
-0.704349995,235.9950013
-0.70389998,236.0899962
-0.703450024,236.2709929
-0.703000009,236.4660031
-0.702549994,236.8440037
-0.702099979,237.1050068
-0.701650023,237.3930038
-0.701200008,237.6009943
-0.700749993,237.9109937
-0.700299978,238.092005
-0.699850023,238.3539977
-0.699400008,238.5630069
-0.698949993,238.9110014
-0.698499978,239.1949965
-0.698050022,239.6490017
-0.697600007,240.0270023
-0.697149992,240.4900006
-0.696699977,240.8589935
-0.696250021,241.2570029
-0.695800006,241.546004
-0.695349991,241.9359953
-0.694899976,242.1649988
-0.694450021,242.4550039
-0.694000006,242.6300052
-0.693549991,242.7760046
-0.693099976,242.7470026
-0.69265002,242.8529988
-0.692200005,242.7370055
-0.69174999,242.7459985
-0.691299975,242.737995
-0.690850019,242.8279986
-0.690400004,242.7889995
-0.689949989,243.0169989
-0.689499974,243.0510067
-0.689050019,243.0930035
-0.688600004,242.973998
-0.688149989,242.9549932
-0.687699974,242.5550047
-0.687250018,242.3319966
-0.686800003,242.0920064
-0.686349988,241.9109951
-0.685899973,241.5920026
-0.685450017,241.6710049
-0.685000002,241.643007
-0.684549987,241.583999
-0.684099972,241.5439958
-0.683650017,241.5329946
-0.683200002,241.116999
-0.682749987,240.6849962
-0.682299972,240.1649981
-0.681850016,239.6409982
-0.681400001,239.0180016
-0.680949986,238.5889966
-0.680499971,238.1499944
-0.680050015,237.8759964
-0.6796,237.5710028
-0.679149985,237.4920005
-0.67869997,237.404005
-0.678250015,237.2519957
-0.6778,237.0089933
-0.677349985,236.8429996
-0.676900029,236.5219989
-0.676450014,236.2009982
-0.675999999,236.0240032
-0.675549984,235.8280035
-0.675100029,235.3900054
-0.674650013,234.8929993
-0.674199998,234.4310051
-0.673749983,234.0000065
-0.673300028,233.6890029
-0.672850013,233.6949983
-0.672399998,233.933999
-0.671949983,234.3109954
-0.671500027,234.6319961
-0.671050012,234.991996
-0.670599997,235.2199954
-0.670149982,235.3150048
-0.669700027,235.1010044
-0.669250011,234.8160051
-0.668799996,234.2609951
-0.668349981,233.7299957
-0.667900026,233.1519936
-0.667450011,232.8779956
-0.666999996,232.6859976
-0.666549981,232.7810071
-0.666100025,232.9220006
-0.66565001,233.1860014
-0.665199995,233.3229932
-0.66474998,233.3199955
-0.664300025,233.1309952
-0.663850009,232.7969996
-0.663399994,232.2899963
-0.662949979,231.6390019
-0.662500024,231.2080032
-0.662050009,230.8469993
-0.661599994,230.6160022
-0.661149979,230.5800008
-0.660700023,230.6649985
-0.660250008,230.635007
-0.659799993,230.4840018
-0.659349978,230.2710054
-0.658900023,229.9530024
-0.658450007,229.5940067
-0.657999992,229.2559948
-0.657549977,229.0730044
-0.657100022,228.8679971
-0.656650007,228.5619994
-0.656199992,228.2750065
-0.655749977,227.8360043
-0.655300021,227.2330021
-0.654850006,226.6079973
-0.654399991,226.0390029
-0.653949976,225.308002
-0.653500021,224.6710064
-0.653050005,224.1460024
-0.65259999,223.6750006
